Concentration,Concentration [ug/mL],Time_min,RFU_Interpolated
0.3125 ug/mL,0.3125,9.42,9210.393116005724
0.3125 ug/mL,0.3125,9.45,9210.393116005724
0.3125 ug/mL,0.3125,9.48,9210.393116005724
0.3125 ug/mL,0.3125,9.51,9210.393116005724
0.3125 ug/mL,0.3125,9.54,9210.393116005724
0.3125 ug/mL,0.3125,9.57,9210.393116005725
0.3125 ug/mL,0.3125,9.6,9210.393116005725
0.3125 ug/mL,0.3125,9.629999999999999,9210.393116005725
0.3125 ug/mL,0.3125,9.66,9210.393116005725
0.3125 ug/mL,0.3125,9.69,9210.393116005725
0.3125 ug/mL,0.3125,9.719999999999999,9210.393116005725
0.3125 ug/mL,0.3125,9.75,9210.393116005725
0.3125 ug/mL,0.3125,9.78,9210.393116005725
0.3125 ug/mL,0.3125,9.81,9210.393116005725
0.3125 ug/mL,0.3125,9.84,9210.393116005725
0.3125 ug/mL,0.3125,9.87,9210.393116005725
0.3125 ug/mL,0.3125,9.9,9210.393116005725
0.3125 ug/mL,0.3125,9.93,9210.393116005725
0.3125 ug/mL,0.3125,9.959999999999999,9210.393116005725
0.3125 ug/mL,0.3125,9.99,9210.393116005725
0.3125 ug/mL,0.3125,10.02,9210.393116005725
0.3125 ug/mL,0.3125,10.049999999999999,9210.393116005725
0.3125 ug/mL,0.3125,10.08,9210.393116005725
0.3125 ug/mL,0.3125,10.11,9210.393116005725
0.3125 ug/mL,0.3125,10.139999999999999,9210.393116005725
0.3125 ug/mL,0.3125,10.17,9210.393116005725
0.3125 ug/mL,0.3125,10.2,9210.393116005725
0.3125 ug/mL,0.3125,10.23,9210.393116005725
0.3125 ug/mL,0.3125,10.26,9210.393116005725
0.3125 ug/mL,0.3125,10.29,9210.393116005725
0.3125 ug/mL,0.3125,10.32,9210.393116005725
0.3125 ug/mL,0.3125,10.35,9210.393116005725
0.3125 ug/mL,0.3125,10.379999999999999,9210.393116005725
0.3125 ug/mL,0.3125,10.41,9210.393116005725
0.3125 ug/mL,0.3125,10.44,9210.393116005725
0.3125 ug/mL,0.3125,10.469999999999999,9210.393116005725
0.3125 ug/mL,0.3125,10.5,9210.393116005725
0.3125 ug/mL,0.3125,10.53,9210.393116005725
0.3125 ug/mL,0.3125,10.559999999999999,9210.393116005725
0.3125 ug/mL,0.3125,10.59,9210.393116005725
0.3125 ug/mL,0.3125,10.62,9210.393116005725
0.3125 ug/mL,0.3125,10.65,9210.393116005725
0.3125 ug/mL,0.3125,10.68,9210.393116005725
0.3125 ug/mL,0.3125,10.709999999999999,9210.393116005725
0.3125 ug/mL,0.3125,10.74,9210.393116005725
0.3125 ug/mL,0.3125,10.77,9210.393116005725
0.3125 ug/mL,0.3125,10.799999999999999,9210.393116005725
0.3125 ug/mL,0.3125,10.83,9210.393116005725
0.3125 ug/mL,0.3125,10.86,9210.393116005725
0.3125 ug/mL,0.3125,10.889999999999999,9210.393116005725
0.3125 ug/mL,0.3125,10.92,9210.393116005725
0.3125 ug/mL,0.3125,10.95,9210.393116005725
0.3125 ug/mL,0.3125,10.98,9210.393116005725
0.3125 ug/mL,0.3125,11.01,9210.393116005725
0.3125 ug/mL,0.3125,11.04,9210.393116005725
0.3125 ug/mL,0.3125,11.07,9210.393116005725
0.3125 ug/mL,0.3125,11.1,9210.393116005725
0.3125 ug/mL,0.3125,11.129999999999999,9210.393116005725
0.3125 ug/mL,0.3125,11.16,9210.393116005725
0.3125 ug/mL,0.3125,11.19,9210.393116005725
0.3125 ug/mL,0.3125,11.219999999999999,9210.393116005725
0.3125 ug/mL,0.3125,11.25,9210.393116005725
0.3125 ug/mL,0.3125,11.28,9210.393116005725
0.3125 ug/mL,0.3125,11.309999999999999,9210.393116005725
0.3125 ug/mL,0.3125,11.34,9210.393116005725
0.3125 ug/mL,0.3125,11.37,9210.393116005725
0.3125 ug/mL,0.3125,11.4,9210.393116005725
0.3125 ug/mL,0.3125,11.43,9210.393116005725
0.3125 ug/mL,0.3125,11.459999999999999,9210.393116005725
0.3125 ug/mL,0.3125,11.49,9210.393116005725
0.3125 ug/mL,0.3125,11.52,9210.393116005725
0.3125 ug/mL,0.3125,11.549999999999999,9210.393116005725
0.3125 ug/mL,0.3125,11.58,9210.393116005725
0.3125 ug/mL,0.3125,11.61,9210.393116005725
0.3125 ug/mL,0.3125,11.639999999999999,9210.393116005725
0.3125 ug/mL,0.3125,11.67,9210.393116005725
0.3125 ug/mL,0.3125,11.7,9210.393116005725
0.3125 ug/mL,0.3125,11.73,9210.393116005725
0.3125 ug/mL,0.3125,11.76,9210.393116005725
0.3125 ug/mL,0.3125,11.79,9210.393116005725
0.3125 ug/mL,0.3125,11.82,9210.393116005725
0.3125 ug/mL,0.3125,11.85,9210.393116005725
0.3125 ug/mL,0.3125,11.879999999999999,9210.393116005725
0.3125 ug/mL,0.3125,11.91,9210.393116005725
0.3125 ug/mL,0.3125,11.94,9210.393116005725
0.3125 ug/mL,0.3125,11.969999999999999,9210.393116005725
0.3125 ug/mL,0.3125,12.0,9210.393116005725
0.3125 ug/mL,0.3125,12.03,9210.393116005725
0.3125 ug/mL,0.3125,12.059999999999999,9210.393116005725
0.3125 ug/mL,0.3125,12.09,9210.393116005725
0.3125 ug/mL,0.3125,12.12,9210.393116005725
0.3125 ug/mL,0.3125,12.15,9210.393116005725
0.3125 ug/mL,0.3125,12.18,9210.393116005725
0.3125 ug/mL,0.3125,12.209999999999999,9210.393116005725
0.3125 ug/mL,0.3125,12.24,9210.393116005725
0.3125 ug/mL,0.3125,12.27,9210.393116005725
0.3125 ug/mL,0.3125,12.299999999999999,9210.393116005725
0.3125 ug/mL,0.3125,12.33,9210.393116005725
0.3125 ug/mL,0.3125,12.36,9210.393116005725
0.3125 ug/mL,0.3125,12.389999999999999,9210.393116005725
0.3125 ug/mL,0.3125,12.42,9210.393116005725
0.3125 ug/mL,0.3125,12.45,9210.393116005725
0.3125 ug/mL,0.3125,12.48,9210.393116005725
0.3125 ug/mL,0.3125,12.51,9210.393116005725
0.3125 ug/mL,0.3125,12.54,9210.393116005725
0.3125 ug/mL,0.3125,12.57,9210.393116005725
0.3125 ug/mL,0.3125,12.6,9210.393116005725
